+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                 ;
+-----------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                             ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; Nios_module|u0|mm_interconnect_0|cmd_xbar_mux_001|arb                                                                 ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|cmd_xbar_mux_001                                                                     ; 249   ; 0              ; 0            ; 0              ; 125    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|cmd_xbar_mux|arb|adder                                                               ; 8     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|cmd_xbar_mux|arb                                                                     ; 6     ; 0              ; 1            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|cmd_xbar_mux                                                                         ; 249   ; 0              ; 0            ; 0              ; 125    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|cmd_xbar_demux_001                                                                   ; 152   ; 196            ; 2            ; 196            ; 1723   ; 196             ; 196           ; 196             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|cmd_xbar_demux                                                                       ; 140   ; 4              ; 14           ; 4              ; 247    ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|burst_adapter|altera_merlin_burst_adapter_uncompressed_only.the_ba                   ; 108   ; 3              ; 5            ; 3              ; 106    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|burst_adapter                                                                        ; 108   ; 0              ; 0            ; 0              ; 106    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|limiter_001                                                                          ; 250   ; 0              ; 0            ; 0              ; 261    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|limiter                                                                              ; 250   ; 0              ; 0            ; 0              ; 261    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_013|the_default_decode                                                     ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_013                                                                        ; 112   ; 0              ; 2            ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_012|the_default_decode                                                     ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_012                                                                        ; 112   ; 0              ; 2            ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_011|the_default_decode                                                     ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_011                                                                        ; 112   ; 0              ; 2            ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_010|the_default_decode                                                     ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_010                                                                        ; 112   ; 0              ; 2            ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_009|the_default_decode                                                     ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_009                                                                        ; 112   ; 0              ; 2            ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_008|the_default_decode                                                     ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_008                                                                        ; 112   ; 0              ; 2            ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_007|the_default_decode                                                     ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_007                                                                        ; 112   ; 0              ; 2            ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_006|the_default_decode                                                     ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_006                                                                        ; 112   ; 0              ; 2            ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_005|the_default_decode                                                     ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_005                                                                        ; 112   ; 0              ; 2            ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_004|the_default_decode                                                     ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_004                                                                        ; 112   ; 0              ; 2            ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_003|the_default_decode                                                     ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_003                                                                        ; 112   ; 0              ; 2            ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_002|the_default_decode                                                     ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_002                                                                        ; 112   ; 0              ; 2            ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_001|the_default_decode                                                     ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router_001                                                                        ; 94    ; 0              ; 2            ; 0              ; 106    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router|the_default_decode                                                         ; 0     ; 14             ; 0            ; 14             ; 14     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|id_router                                                                            ; 112   ; 0              ; 2            ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|addr_router_001|the_default_decode                                                   ; 0     ; 18             ; 0            ; 18             ; 18     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|addr_router_001                                                                      ; 112   ; 0              ; 6            ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|addr_router|the_default_decode                                                       ; 0     ; 18             ; 0            ; 18             ; 18     ; 18              ; 18            ; 18              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|addr_router                                                                          ; 112   ; 0              ; 6            ; 0              ; 124    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|whole_time_b_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                   ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|whole_time_b_s1_translator_avalon_universal_slave_0_agent|uncompressor               ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|whole_time_b_s1_translator_avalon_universal_slave_0_agent                            ; 310   ; 39             ; 51           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|whole_time_a_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                   ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|whole_time_a_s1_translator_avalon_universal_slave_0_agent|uncompressor               ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|whole_time_a_s1_translator_avalon_universal_slave_0_agent                            ; 310   ; 39             ; 51           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|duty_cycle_b_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                   ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|duty_cycle_b_s1_translator_avalon_universal_slave_0_agent|uncompressor               ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|duty_cycle_b_s1_translator_avalon_universal_slave_0_agent                            ; 310   ; 39             ; 51           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|duty_cycle_a_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                   ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|duty_cycle_a_s1_translator_avalon_universal_slave_0_agent|uncompressor               ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|duty_cycle_a_s1_translator_avalon_universal_slave_0_agent                            ; 310   ; 39             ; 51           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|time_interval_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                  ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|time_interval_s1_translator_avalon_universal_slave_0_agent|uncompressor              ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|time_interval_s1_translator_avalon_universal_slave_0_agent                           ; 310   ; 39             ; 51           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|freq_standard_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                  ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|freq_standard_s1_translator_avalon_universal_slave_0_agent|uncompressor              ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|freq_standard_s1_translator_avalon_universal_slave_0_agent                           ; 310   ; 39             ; 51           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|freq_b_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                         ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|freq_b_s1_translator_avalon_universal_slave_0_agent|uncompressor                     ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|freq_b_s1_translator_avalon_universal_slave_0_agent                                  ; 310   ; 39             ; 51           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|freq_a_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                         ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|freq_a_s1_translator_avalon_universal_slave_0_agent|uncompressor                     ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|freq_a_s1_translator_avalon_universal_slave_0_agent                                  ; 310   ; 39             ; 51           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|uart_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                           ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|uart_s1_translator_avalon_universal_slave_0_agent|uncompressor                       ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|uart_s1_translator_avalon_universal_slave_0_agent                                    ; 310   ; 39             ; 51           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|timer_10ms_s1_translator_avalon_universal_slave_0_agent_rsp_fifo                     ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|timer_10ms_s1_translator_avalon_universal_slave_0_agent|uncompressor                 ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|timer_10ms_s1_translator_avalon_universal_slave_0_agent                              ; 310   ; 39             ; 51           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent_rsp_fifo     ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent|uncompressor ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|jtag_uart_0_avalon_jtag_slave_translator_avalon_universal_slave_0_agent              ; 310   ; 39             ; 51           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|sysid0_control_slave_translator_avalon_universal_slave_0_agent_rsp_fifo              ; 152   ; 39             ; 0            ; 39             ; 111    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|sysid0_control_slave_translator_avalon_universal_slave_0_agent|uncompressor          ; 44    ; 1              ; 0            ; 1              ; 42     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|sysid0_control_slave_translator_avalon_universal_slave_0_agent                       ; 310   ; 39             ; 51           ; 39             ; 328    ; 39              ; 39            ; 39              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; Nios_module|u0|mm_interconnect_0|sdram_s1_translator_avalon_universal_slave_0_agent_rdata_fifo                        ; 63    ; 41             ; 0            ; 41             ; 20     ; 41              ; 41            ; 41              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
